Roodlichtcamera's,,,,,,,
Provincie,Gemeente,Nr_1e_Weg,Kmpt_1ste_weg,Straatnaam_1e_weg,Nr_2e_Weg,Straatnaam_2e_weg,Aantal flitspalen
Limburg,Hasselt,R71,7.9,HendrikVanveldekesingel / Herkenrodesingel,N2,Kuringersteenweg,5
Limburg,Hoeselt,N730,7.91,Bilzersteenweg/Tongersesteenweg,,L. Lambrechtstraat/Stationsstraat,2
Limburg,Houthalen,N74,12.1,Grote Baan,,Herebaan,2
Limburg,Houthalen-Helchteren,N715,10.535,Grote Baan,,Koolmijnlaan / Meerstraat,4
Limburg,Houthalen-Helchteren,N715,11.4,Grote Baan,,Dorpsstraat,2
Limburg,Houthalen-Helchteren,N715,14.24,Grote Baan,N719,Helzoldstraat / Kazernelaan,2
Limburg,Lanaken,N77,14.65,Maastrichterweg,,Koning Albertlaan,2
Limburg,Lanaken,N78,11.35,Staatsbaan,,Keelhoffstraat / Schuttershofstraat,2
Limburg,Lommel,N71,23.4,Ringlaan,N769,,2
Limburg,Lommel,N71,24.1,Ringlaan,,Balendijk,2
Limburg,Lommel,N71,24.93,Ringlaan,N746,Stationstraat,4
Limburg,Lommel,N71,25.66,Ringlaan,,Hoeverdijk,2
Limburg,Lommel,N715,34.4,Luikersteenweg,,Leuken / Fabriekstraat,2
Limburg,Maasmechelen,N78,17.04,Rijksweg,,Ringlaan,2
Limburg,Maasmechelen,N78,17.75,Rijksweg,,Dr. Haubenlaan / J. Smeetslaan,2
Limburg,Maasmechelen,N78,18.05,Rijksweg,,Koning Albertlaan / Collegestraat,2
Limburg,Maasmechelen,N78,19.2,Rijksweg,,Herdersstraat,2
Limburg,Overpelt,N71,28.54,Ringlaan,N715,Napoleonweg,3
Limburg,Overpelt,N71,29.38,Ringlaan,N712,Astridlaan,4
Limburg,Overpelt,N712,19.28,Leopoldlaan,,Ringlaan / Dorpstraat,2
Limburg,Sint-Lambrechts-Herk,N80,4.1,Expressweg,,Steenberg,4
Limburg,Sint-Truiden,N3,64.1,Luikersteenweg,,Vliegveldlaan,2
Limburg,Sint-Truiden,N80,11.1,,N759,Nachtgaalstraat,2
Limburg,Sint-Truiden,N80,14.25,,N718,,2
Limburg,Sint-Truiden,N80,16.03,Expressweg,,Sint Jorisstraat / Rellestraat,3
Limburg,Sint-Truiden,N80,16.6,Noordoostelijke omleiding,N722,Hasseltsesteenweg,4
Limburg,Sint-Truiden,N80,17.34,Noordoostelijke omleiding,N79,Tongeresteenweg,4
Limburg,Sint-Truiden,N80,17.56,Noordoostelijke omleiding,N3,Luikersteenweg,4
Limburg,Tessenderlo,N174,9.1,Sparrenweg,,Schoterweg,2
Limburg,Zonhoven,N74,4.89,Kempischesteenweg,N715,Heuveneinde,3
Limburg,Zonhoven,N74,6.06,Omleidingsweg,,Donkweg,4
Limburg,Zonhoven,N74,6.92,Omleidingsweg,,Engstegenseweg,4
Limburg,Zutendaal,N730,16.95,Bilzerweg,N750,Oosterring,2
Limburg,Zutendaal,N77,6.67,Hoogstraat / Dorpstraat,,Sprinkelestraat / Daalstraat,2
